16818	1371	0
2092	2264	0
2298	2048	0
592	1972	0
3262	3865	1
26358	2672	1
30037	13524	1
3835	41139	1
3419	16831	0
777	16753	1
801	6097	0
42352	2584	0
3525	4509	1
239	3849	0
1584	5676	0
2306	1316	0
2501	4519	1
30729	3732	0
3100	15779	0
1012	3569	1
30379	4339	1
16079	2260	0
4430	16581	1
3362	15831	1
370	2359	1
336	15325	0
2584	2684	1
684	4798	1
2298	25429	1
3873	4328	1
990	1561	1
38448	5912	1
2753	2099	0
4197	16814	1
3362	4709	1
4039	5912	1
2722	3455	0
16338	26005	1
12620	2383	0
2019	2163	1
16545	5245	0
16616	8086	0
3601	27263	1
15989	1979	0
722	5029	0
2121	5976	0
403	13132	0
221	2323	1
132	755	0
62	2098	0
44	399	0
4386	4705	1
5127	4436	0
11178	1354	0
2817	2314	0
4223	16350	0
2131	4454	1
40315	16862	1
7800	13564	1
4430	6063	0
479	957	1
5616	16689	0
473	851	0
12767	3867	0
4242	4632	1
1296	6179	0
3362	3914	1
2929	16349	1
684	1127	1
2353	13532	1
749	4082	1
7550	3437	1
1294	2029	1
16593	8217	0
66	741	1
3479	38737	1
44	4406	0
2062	2308	0
5422	5466	1
13026	3128	0
2288	1891	0
13198	16837	0
1919	2048	1
8313	15924	1
26	149	1
797	2887	1
2249	5089	1
8150	16524	1
12010	15831	0
5642	895	0
4173	16107	1
730	16804	1
1424	5428	0
1775	37813	1
481	1815	0
3360	4954	1
1921	4227	0
7895	1752	1
7293	2841	1
1052	15695	1
362	1614	0
7946	4168	0
787	1202	1
4320	16864	1
1146	1362	1
16113	4383	1
2568	3683	0
2019	622	0
16033	259	0
4974	5065	1
3264	3855	1
5696	15695	0
1869	16649	1
1137	5930	0
356	664	1
5225	6133	0
614	5992	0
2506	4719	0
7580	1405	1
2465	3012	1
1370	5363	0
39052	12533	0
259	1516	1
2461	36120	1
1950	823	0
2730	3441	1
17980	88	0
831	13106	0
453	2947	0
1993	2230	1
4478	5516	1
1954	18099	0
447	1127	1
13551	3783	1
1123	7809	0
2961	5217	1
13544	3009	0
13404	13406	1
1228	2518	1
4974	5151	1
6856	7608	1
783	2755	1
18079	25429	0
159	799	0
44	2375	1
12634	15307	1
851	9205	1
2829	3757	1
37812	3930	0
1012	1970	1
956	1931	1
2113	4128	0
2266	34942	1
612	2941	1
5456	16876	0
2411	5634	0
3016	13423	1
4304	835	0
4914	26205	1
3453	3670	1
13270	4328	0
3245	16894	0
801	2670	0
80	7946	1
714	2763	1
1294	3251	1
4156	4703	1
18049	25466	0
8195	28911	1
606	951	1
1636	3947	1
1137	15816	1
2389	5163	0
183	2654	1
433	3124	1
1223	1462	1
1839	2963	0
3459	3634	1
16750	1254	0
340	1578	1
360	1006	1
7965	600	0
2614	2660	1
3916	5363	1
13179	13265	1
1797	13427	1
11956	4332	0
1765	2298	1
12583	5904	0
783	4223	0
229	11039	0
413	2143	1
909	3685	1
2088	3827	1
1883	2377	1
3378	16589	1
25498	18099	0
7417	5333	1
684	2716	0
14231	2724	0
1256	8168	1
3054	3863	1
15792	15817	1
4707	4667	0
25830	4705	1
295	3403	0
1806	1211	0
4304	16322	1
802	2181	0
4345	6010	1
831	3535	1
2264	3922	1
664	34	0
13456	3873	1
39511	231	0
3213	3463	0
1759	2107	1
16760	1060	0
27485	3229	0
1152	5219	1
4750	5163	1
1296	16093	0
1037	4824	0
847	36279	0
3469	5790	1
2945	16143	1
13377	3618	1
3048	13495	1
15425	4292	1
17685	1980	1
94	3683	1
1759	16842	0
453	929	1
88	2664	0
360	4055	0
326	5664	0
40203	11956	0
714	15822	1
3837	16536	1
1106	5450	0
2099	2499	1
917	2975	1
4168	5912	0
16799	16819	1
3441	6384	0
13565	5135	1
453	2765	0
3308	4519	0
1156	2791	1
931	4490	0
1709	2310	1
10259	5374	1
11538	13377	1
2726	3148	0
140	3457	0
1016	25395	0
3233	3513	1
1979	16677	1
1346	5862	0
588	3851	1
11208	8072	0
2401	6115	1
386	521	1
3916	12609	0
1008	3618	0
1496	1958	1
3511	16550	0
1811	2337	0
31506	3831	0
775	195	0
2389	12786	0
1691	8212	0
1304	5818	1
1360	3062	0
41192	16827	0
13261	2491	0
1178	1769	1
2214	2355	1
3272	3179	0
2526	2993	1
4355	4664	1
4835	5992	0
1028	4748	0
18081	16847	1
1112	3953	0
16124	18125	0
13338	3048	1
12817	12905	1
1557	3018	0
12010	1462	0
2445	9572	1
17980	8197	0
1430	1559	1
11233	1940	0
3469	5596	1
8192	5748	1
695	4857	1
13454	13538	1
3906	5187	1
1669	5333	0
1825	2139	1
8190	2997	0
301	555	1
994	11208	1
2512	3477	1
5870	3660	0
4648	5520	0
1227	8148	1
8184	12901	1
3258	3708	1
3969	2284	0
2403	5398	1
3737	6159	0
1040	606	0
927	9063	0
6641	39818	0
7550	1119	1
435	5760	0
1034	1217	1
1739	16138	0
16593	8202	0
2991	2646	0
13305	11023	0
4326	16710	1
2913	3181	1
4841	6018	0
13145	16524	1
449	3411	1
7996	4379	1
1123	3660	0
1665	7035	0
8080	12796	1
1845	7853	0
3032	18076	0
11956	4889	1
1730	3415	0
3959	3873	0
18092	4394	1
16338	34787	1
933	4841	0
8180	3932	1
586	3640	1
16142	16310	0
70	13450	0
941	4857	0
2495	1044	0
606	1903	0
1125	1693	0
1438	3215	1
2879	13224	1
1921	15940	1
4128	4454	1
1038	4094	0
1766	1966	1
15934	1655	0
2200	25815	0
447	3630	1
13261	4239	0
3173	15777	1
696	1634	1
29107	3757	0
1232	37812	0
16143	38130	1
16075	16107	1
1330	12901	0
13544	3209	1
1988	5458	1
1576	5231	0
1090	1618	1
2905	818	0
13563	2155	0
16592	16654	0
10703	3171	0
471	1958	1
4132	5672	1
662	1186	1
16075	16104	1
7991	16004	1
2355	2720	1
10	791	1
1999	2919	1
4073	5952	0
1340	13074	0
27403	5486	0
13535	6053	0
1438	2745	1
16834	1598	0
9195	15934	0
1993	2074	0
12768	5790	1
116	394	0
255	710	1
2256	2749	1
3650	3693	0
483	13261	0
1966	2405	1
1741	1891	1
507	961	0
16651	4679	0
1500	14576	1
5490	5976	1
1144	1831	0
12777	6159	0
2658	2757	1
777	1352	1
2125	16027	0
835	1578	1
654	8148	0
4576	5189	1
1584	1588	1
374	1240	0
328	2638	1
608	1240	1
13344	3364	1
6046	34350	1
3368	38735	0
277	36279	0
2823	3284	0
2251	7952	0
897	1671	0
3891	4043	0
5426	15857	0
441	28001	1
9841	12421	1
13338	3060	1
16555	3910	0
16762	6083	1
13257	13378	1
3951	16807	1
13456	3072	0
112	13497	1
3575	5856	1
3411	3767	0
118	8376	1
461	557	1
25498	845	0
825	5870	1
1522	2979	1
3973	5257	1
7115	1636	1
1188	7860	1
2204	7736	0
74	2654	1
672	1344	1
16147	4302	0
2171	2638	1
1416	2314	1
10892	2797	1
1845	1875	1
2694	5378	1
2060	8089	1
5109	3942	0
